"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-pop"
"03/04/2017 12:00:48:448 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of social-system 0"
"59","0.1","1.0E-6","0.91","1","0","1.17","1.0E-4","4.0E-7","1","19906","18270.172055278414"
"56","0.1","1.0E-6","0.91","1","0","1.14","1.0E-4","4.0E-7","1","14546","23474.89414129228"
"58","0.1","1.0E-6","0.91","1","0","1.16","1.0E-4","4.0E-7","1","18219","19838.495644557635"
"60","0.1","1.0E-6","0.91","1","0","1.18","1.0E-4","4.0E-7","1","19974","16845.91712089509"
"61","0.1","1.0E-6","0.91","1","0","1.19","1.0E-4","4.0E-7","1","21646","15551.099441551154"
"64","0.1","1.0E-6","0.92","1","0","0.91","1.0E-4","4.0E-7","1","21080","161566.41252561746"
"63","0.1","1.0E-6","0.92","1","0","0.9","1.0E-4","4.0E-7","1","25878","163220.87173378878"
"66","0.1","1.0E-6","0.92","1","0","0.93","1.0E-4","4.0E-7","1","14032","148422.7746920843"
"67","0.1","1.0E-6","0.92","1","0","0.94","1.0E-4","4.0E-7","1","11540","139291.61663756426"
"68","0.1","1.0E-6","0.92","1","0","0.95","1.0E-4","4.0E-7","1","9545","129524.86918914714"
"65","0.1","1.0E-6","0.92","1","0","0.92","1.0E-4","4.0E-7","1","16837","156186.20171939046"
"69","0.1","1.0E-6","0.92","1","0","0.96","1.0E-4","4.0E-7","1","7749","119629.64684043264"
"62","0.1","1.0E-6","0.91","1","0","1.2","1.0E-4","4.0E-7","1","25327","14372.6629871045"
"70","0.1","1.0E-6","0.92","1","0","0.97","1.0E-4","4.0E-7","1","6052","109943.07073175885"
"71","0.1","1.0E-6","0.92","1","0","0.98","1.0E-4","4.0E-7","1","4829","100678.08557059591"
"72","0.1","1.0E-6","0.92","1","0","0.99","1.0E-4","4.0E-7","1","4629","91959.26056666035"
"74","0.1","1.0E-6","0.92","1","0","1.01","1.0E-4","4.0E-7","1","4905","76370.9430833353"
"75","0.1","1.0E-6","0.92","1","0","1.02","1.0E-4","4.0E-7","1","5442","69516.91946814854"
"73","0.1","1.0E-6","0.92","1","0","1","1.0E-4","4.0E-7","1","4724","83849.72733362445"
"76","0.1","1.0E-6","0.92","1","0","1.03","1.0E-4","4.0E-7","1","5679","63264.3068391302"
"78","0.1","1.0E-6","0.92","1","0","1.05","1.0E-4","4.0E-7","1","6488","52423.15577337513"
"77","0.1","1.0E-6","0.92","1","0","1.04","1.0E-4","4.0E-7","1","6219","57579.435638643066"
"80","0.1","1.0E-6","0.92","1","0","1.07","1.0E-4","4.0E-7","1","7835","43530.83537949885"
"79","0.1","1.0E-6","0.92","1","0","1.06","1.0E-4","4.0E-7","1","7035","47754.100632951726"
"81","0.1","1.0E-6","0.92","1","0","1.08","1.0E-4","4.0E-7","1","8125","39713.222788541076"
"82","0.1","1.0E-6","0.92","1","0","1.09","1.0E-4","4.0E-7","1","8914","36263.246193923565"
