"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-bio"
"03/04/2017 13:24:43:447 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of ecosystem 1"
"57","0.1","1.0E-6","1.04","1","0","0.92","1.0E-4","4.0E-7","1","38176","0.9896214540222154"
"53","0.1","1.0E-6","1","1","0","0.92","1.0E-4","4.0E-7","1","40314","0.894888239760491"
"59","0.1","1.0E-6","1.06","1","0","0.92","1.0E-4","4.0E-7","1","30494","0.9959861960555039"
"58","0.1","1.0E-6","1.05","1","0","0.92","1.0E-4","4.0E-7","1","34119","0.9937356365354174"
"60","0.1","1.0E-6","1.07","1","0","0.92","1.0E-4","4.0E-7","1","27373","0.997286922818361"
"62","0.1","1.0E-6","1.09","1","0","0.92","1.0E-4","4.0E-7","1","22490","0.998586702237495"
"63","0.1","1.0E-6","1.1","1","0","0.92","1.0E-4","4.0E-7","1","20596","0.9989247054247136"
"64","0.1","1.0E-6","0.9","1","0","0.93","1.0E-4","4.0E-7","1","12756","0.2788362417764131"
"65","0.1","1.0E-6","0.91","1","0","0.93","1.0E-4","4.0E-7","1","13167","0.3148213743842776"
"61","0.1","1.0E-6","1.08","1","0","0.92","1.0E-4","4.0E-7","1","24711","0.998079761235708"
"67","0.1","1.0E-6","0.93","1","0","0.93","1.0E-4","4.0E-7","1","14740","0.400000000000037"
"68","0.1","1.0E-6","0.94","1","0","0.93","1.0E-4","4.0E-7","1","15957","0.4498142503685637"
"66","0.1","1.0E-6","0.92","1","0","0.93","1.0E-4","4.0E-7","1","14068","0.355095350527463"
"70","0.1","1.0E-6","0.96","1","0","0.93","1.0E-4","4.0E-7","1","18415","0.564550936295571"
"69","0.1","1.0E-6","0.95","1","0","0.93","1.0E-4","4.0E-7","1","16887","0.5046904440951235"
"71","0.1","1.0E-6","0.97","1","0","0.93","1.0E-4","4.0E-7","1","20419","0.6289211124625385"
